"","convicted","catholic","female","age","educ","foreignborn"
"686",0,0,1,43,12,0
"687",0,0,1,22,13,0
"688",1,0,0,41,13,0
"689",1,1,0,24,14,0
"690",0,1,1,43,8,1
"691",0,0,1,66,14,1
"692",0,0,1,47,13,0
"693",0,1,0,50,15,1
"694",0,0,0,57,14,1
"695",0,0,0,56,13,0
"696",0,0,1,22,12,0
"697",0,0,0,61,16,0
"698",0,0,1,26,15,0
"699",0,0,1,42,16,0
"700",0,1,0,87,15,0
"701",0,1,0,32,16,0
"702",0,0,0,42,16,0
"703",0,0,1,55,13,0
"704",0,0,1,38,16,0
"705",0,1,0,62,15,0
"706",0,0,0,51,16,0
"707",0,0,1,27,14,0
"708",1,0,0,36,11,0
"709",1,0,1,34,14,0
"710",1,0,0,29,14,0
"711",0,0,0,51,14,0
"712",0,1,0,25,13,1
"713",0,1,1,81,16,1
"714",0,0,1,45,13,0
"715",0,0,0,61,13,0
"716",0,0,0,79,15,0
"717",0,0,0,63,12,0
"718",0,0,0,60,20,1
"719",0,0,1,54,12,0
"720",0,1,0,21,14,0
"721",1,0,0,67,11,0
"722",1,0,0,61,12,0
"723",0,0,0,51,12,0
"724",0,0,1,72,9,0
"725",0,1,0,63,9,0
"726",0,0,0,78,18,0
"727",0,0,1,45,16,0
"728",0,1,0,48,12,0
"729",0,0,0,79,16,0
"730",0,0,0,30,12,0
"731",1,0,1,32,12,0
"732",1,1,1,30,11,0
"733",0,0,0,44,16,0
"734",0,1,1,42,14,0
"735",0,0,1,64,14,0
"736",0,0,0,42,16,0
"737",0,0,1,42,16,0
"738",0,0,0,46,16,0
"739",0,1,0,26,13,0
"740",0,0,1,63,12,0
"741",0,0,1,45,16,0
"742",0,0,1,33,15,0
"743",0,0,1,27,15,0
"744",0,0,0,50,16,0
"745",0,0,0,68,16,0
"746",0,0,1,55,12,0
"747",0,0,1,58,9,0
"748",0,1,1,19,13,0
"749",0,1,1,38,12,0
"750",0,0,1,27,16,0
"751",0,0,1,71,12,0
"752",0,0,0,38,12,0
"753",0,0,1,48,12,0
"754",0,0,1,56,10,0
"755",0,0,1,23,15,0
"756",1,0,0,51,10,0
"757",0,1,1,47,12,0
"758",0,0,1,49,12,0
"759",0,0,1,22,15,0
"760",1,0,0,36,17,0
"761",1,1,0,38,12,0
"762",1,0,0,22,12,0
"763",1,0,0,46,14,0
"764",0,0,0,63,10,0
"765",0,0,0,19,11,0
"766",0,0,0,52,12,0
"767",0,0,1,64,12,0
"768",0,0,1,49,12,0
"769",0,0,0,45,11,0
"770",0,0,1,45,12,0
"771",0,0,1,55,18,0
"772",0,0,0,62,11,0
"773",0,0,0,31,16,0
"774",0,0,0,54,12,0
"775",0,0,1,21,13,0
"776",1,0,0,23,12,0
"777",0,0,1,34,16,0
"778",1,0,0,45,14,0
"779",1,0,0,28,13,0
"780",0,0,0,34,14,0
"781",0,1,0,25,13,0
"782",0,0,1,39,6,1
"783",0,1,0,38,10,0
"784",0,0,0,80,3,0
"785",0,1,1,34,12,0
"786",0,1,0,71,12,0
"787",0,0,0,33,10,0
"788",1,0,1,32,9,0
"789",0,0,0,37,16,0
"790",0,1,0,41,12,0
"791",1,0,0,32,14,0
"792",1,0,0,35,13,0
"793",0,0,0,61,12,0
"794",0,0,0,57,16,0
"795",0,0,0,71,15,0
"796",0,1,1,39,18,0
"797",0,0,1,30,13,0
"798",0,1,1,42,16,1
"799",0,1,1,48,14,0
"800",0,1,0,32,19,0
"801",0,0,1,42,18,1
"802",0,0,0,37,13,0
"803",0,0,1,29,11,0
"804",0,0,1,74,12,0
"805",1,0,0,47,12,0
"806",1,0,0,41,16,0
"807",0,0,0,71,15,0
"808",0,0,1,31,12,0
"809",0,0,1,33,14,0
"810",0,0,0,32,20,0
"811",0,0,0,48,13,0
"812",0,0,1,50,18,0
"813",1,0,1,27,13,0
"814",0,1,1,35,14,0
"815",1,0,0,40,9,0
"816",1,0,1,33,15,0
"817",0,0,1,49,16,1
"818",0,0,0,30,12,0
"819",0,0,1,22,16,0
"820",1,1,1,21,14,0
"821",0,1,1,21,14,0
"822",0,1,0,23,16,0
"823",0,0,0,67,12,0
"824",0,0,1,34,13,0
"825",0,0,0,18,12,0
"826",0,0,0,28,12,0
"827",0,0,1,84,13,0
"828",0,0,0,31,9,0
"829",0,0,0,25,13,0
"830",0,0,0,38,12,0
"831",0,0,1,37,12,0
"832",1,1,0,66,15,0
"833",0,1,1,24,14,0
"834",0,1,1,49,14,0
"835",0,0,1,48,11,0
"836",0,0,0,39,12,0
"837",0,0,1,59,12,0
"838",0,1,0,63,14,0
"839",1,0,0,61,13,0
"840",0,0,1,48,12,0
"841",0,0,1,39,12,1
"842",0,0,0,32,16,0
"843",0,0,1,32,12,0
"844",0,0,0,27,14,0
"845",0,1,0,44,16,0
"846",0,0,0,37,14,0
"847",0,0,1,70,12,0
"848",0,0,1,31,12,0
"849",0,0,0,57,12,0
"850",0,0,1,63,12,0
"851",0,0,1,47,20,0
"852",0,0,1,41,18,0
"853",0,1,1,41,18,0
"854",0,0,1,42,12,0
"855",0,0,1,31,12,0
"856",0,0,0,65,12,0
"857",0,1,1,65,14,0
"858",1,0,0,38,18,0
"859",0,0,1,65,14,0
"860",0,0,1,19,12,0
"861",0,1,0,58,16,0
"862",0,1,1,31,16,0
"863",0,1,1,36,12,0
"864",0,0,1,29,16,0
"865",0,1,1,37,17,1
"866",0,0,1,42,17,0
"867",0,0,1,26,15,0
"868",0,0,0,24,12,0
"869",0,0,0,75,12,0
"870",0,0,0,40,20,0
"871",1,0,0,30,11,0
"872",0,0,0,65,16,0
"873",0,0,1,56,18,0
"874",0,0,0,40,16,0
"875",0,0,1,38,15,0
"876",0,0,1,69,16,0
"877",0,0,0,64,16,0
"878",1,0,0,29,14,0
"879",0,0,1,49,12,0
"880",0,0,0,32,12,0
"881",0,0,1,55,13,0
"882",0,0,0,55,14,0
"883",0,0,0,83,12,0
"884",0,0,0,35,18,1
"885",1,0,0,42,11,0
"886",0,0,1,39,14,0
"887",0,0,1,23,15,0
"888",0,0,1,58,12,0
"889",1,0,1,50,12,0
"890",0,0,1,45,17,0
"891",0,0,1,77,9,0
"892",0,0,1,34,20,0
"893",0,0,1,32,14,0
"894",0,0,1,61,12,0
"895",0,0,1,69,18,0
"896",0,1,0,56,14,0
"897",0,0,0,43,12,0
"898",0,0,0,20,12,0
"899",0,0,0,30,8,0
"900",0,1,0,24,16,0
"901",0,1,1,57,16,1
"902",0,0,1,22,15,0
"903",1,0,0,23,13,0
"904",0,1,1,71,12,0
"905",0,1,1,43,13,0
"906",0,1,1,55,12,0
"907",0,0,0,29,16,0
"908",0,1,1,21,13,0
"909",0,0,1,34,18,0
"910",0,0,1,34,18,0
"911",0,1,1,77,7,0
"912",0,0,1,28,16,0
"913",0,0,0,61,14,0
"914",0,0,0,62,17,0
"915",0,0,1,40,8,0
"916",0,0,0,27,12,0
"917",0,1,0,22,16,0
"918",1,1,1,61,16,0
"919",0,0,1,31,16,1
"920",0,0,1,38,18,0
"921",0,1,1,26,16,0
"922",0,0,1,25,12,0
"923",0,0,1,78,11,0
"924",0,0,1,39,20,0
"925",0,0,0,40,17,0
"926",0,1,0,52,13,0
