year,date,maxtemp,day
1921,1921-09-25,73,634
1921,1921-09-26,73,635
1921,1921-09-27,74,636
1921,1921-09-28,82,637
1921,1921-09-29,76,638
1921,1921-09-30,77,639
1921,1921-10-01,70,640
1921,1921-10-02,78,641
1921,1921-10-03,71,642
1921,1921-10-04,70,643
1921,1921-10-05,60,644
1921,1921-10-06,71,645
1921,1921-10-07,74,646
1921,1921-10-08,75,647
1921,1921-10-09,55,648
1921,1921-10-10,71,649
1921,1921-10-11,64,650
1921,1921-10-12,63,651
1921,1921-10-13,56,652
1921,1921-10-14,71,653
1921,1921-10-15,79,654
1921,1921-10-16,65,655
1921,1921-10-17,53,656
1921,1921-10-18,63,657
1921,1921-10-19,72,658
1921,1921-10-20,68,659
1921,1921-10-21,56,660
1921,1921-10-22,69,661
1921,1921-10-23,63,662
1921,1921-10-24,54,663
1921,1921-10-25,51,664
1921,1921-10-26,47,665
1921,1921-10-27,60,666
1921,1921-10-28,57,667
1921,1921-10-29,56,668
1921,1921-10-30,54,669
1921,1921-10-31,62,670
1921,1921-11-01,56,671
1921,1921-11-02,53,672
1921,1921-11-03,47,673
1921,1921-11-04,53,674
1921,1921-11-05,52,675
1921,1921-11-06,44,676
1921,1921-11-07,48,677
1921,1921-11-08,40,678
1921,1921-11-09,43,679
1921,1921-11-10,44,680
1921,1921-11-11,51,681
1921,1921-11-12,47,682
1921,1921-11-13,41,683
1921,1921-11-14,44,684
1921,1921-11-15,51,685
1921,1921-11-16,51,686
1921,1921-11-17,52,687
1921,1921-11-18,48,688
1921,1921-11-19,72,689
1921,1921-11-20,64,690
1921,1921-11-21,44,691
1921,1921-11-22,58,692
1921,1921-11-23,41,693
1921,1921-11-24,40,694
1921,1921-11-25,46,695
1921,1921-11-26,42,696
1921,1921-11-27,40,697
1921,1921-11-28,38,698
1921,1921-11-29,36,699
1921,1921-11-30,44,700
1921,1921-12-01,48,701
1921,1921-12-02,57,702
1921,1921-12-03,58,703
1921,1921-12-04,40,704
1921,1921-12-05,40,705
1921,1921-12-06,36,706
1921,1921-12-07,39,707
1921,1921-12-08,35,708
1921,1921-12-09,32,709
1921,1921-12-10,46,710
1921,1921-12-11,46,711
1921,1921-12-12,44,712
1921,1921-12-13,35,713
1921,1921-12-14,30,714
1921,1921-12-15,29,715
1921,1921-12-16,31,716
1921,1921-12-17,50,717
1921,1921-12-18,57,718
1921,1921-12-19,43,719
1921,1921-12-20,40,720
1921,1921-12-21,40,721
1921,1921-12-22,18,722
1921,1921-12-23,34,723
1921,1921-12-24,36,724
1921,1921-12-25,36,725
1921,1921-12-26,30,726
1921,1921-12-27,35,727
1921,1921-12-28,30,728
1921,1921-12-29,38,729
1921,1921-12-30,19,730
1921,1921-12-31,43,731
1922,1922-01-01,36,732
1922,1922-01-02,16,733
1922,1922-01-03,25,734
1922,1922-01-04,32,735
1922,1922-01-05,51,736
1922,1922-01-06,42,737
1922,1922-01-07,33,738
1922,1922-01-08,33,739
1922,1922-01-09,43,740
1922,1922-01-10,44,741
1922,1922-01-11,38,742
1922,1922-01-12,32,743
1922,1922-01-13,26,744
1922,1922-01-14,35,745
1922,1922-01-15,48,746
1922,1922-01-16,32,747
1922,1922-01-17,35,748
1922,1922-01-18,36,749
1922,1922-01-19,46,750
1922,1922-01-20,46,751
1922,1922-01-21,32,752
1922,1922-01-22,40,753
1922,1922-01-23,20,754
1922,1922-01-24,17,755
1922,1922-01-25,18,756
1922,1922-01-26,25,757
1922,1922-01-27,29,758
1922,1922-01-28,37,759
1922,1922-01-29,37,760
1922,1922-01-30,36,761
1922,1922-01-31,38,762
1922,1922-02-01,52,763
1922,1922-02-02,53,764
1922,1922-02-03,43,765
1922,1922-02-04,41,766
1922,1922-02-05,38,767
1922,1922-02-06,40,768
1922,1922-02-07,39,769
1922,1922-02-08,28,770
1922,1922-02-09,39,771
1922,1922-02-10,33,772
1922,1922-02-11,42,773
1922,1922-02-12,40,774
1922,1922-02-13,36,775
1922,1922-02-14,28,776
1922,1922-02-15,33,777
1922,1922-02-16,30,778
1922,1922-02-17,10,779
1922,1922-02-18,38,780
1922,1922-02-19,48,781
1922,1922-02-20,56,782
1922,1922-02-21,41,783
1922,1922-02-22,36,784
1922,1922-02-23,54,785
1922,1922-02-24,54,786
1922,1922-02-25,37,787
1922,1922-02-26,45,788
1922,1922-02-27,37,789
1922,1922-02-28,42,790
1922,1922-03-01,30,791
1922,1922-03-02,32,792
1922,1922-03-03,45,793
1922,1922-03-04,47,794
1922,1922-03-05,42,795
1922,1922-03-06,58,796
1922,1922-03-07,63,797
1922,1922-03-08,44,798
1922,1922-03-09,47,799
1922,1922-03-10,49,800
1922,1922-03-11,41,801
1922,1922-03-12,49,802
1922,1922-03-13,52,803
1922,1922-03-14,62,804
1922,1922-03-15,53,805
1922,1922-03-16,45,806
1922,1922-03-17,31,807
1922,1922-03-18,36,808
1922,1922-03-19,50,809
1922,1922-03-20,46,810
1922,1922-03-21,46,811
1922,1922-03-22,45,812
1922,1922-03-23,46,813
1922,1922-03-24,56,814
1922,1922-03-25,45,815
1922,1922-03-26,79,816
1922,1922-03-27,61,817
1922,1922-03-28,45,818
1922,1922-03-29,64,819
1922,1922-03-30,37,820
1922,1922-03-31,36,821
1922,1922-04-01,35,822
1922,1922-04-02,46,823
1922,1922-04-03,48,824
1922,1922-04-04,49,825
1922,1922-04-05,50,826
1922,1922-04-06,52,827
1922,1922-04-07,49,828
1922,1922-04-08,66,829
1922,1922-04-09,59,830
1922,1922-04-10,85,831
1922,1922-04-11,69,832
1922,1922-04-12,59,833
1922,1922-04-13,58,834
1922,1922-04-14,64,835
1922,1922-04-15,48,836
1922,1922-04-16,65,837
1922,1922-04-17,61,838
1922,1922-04-18,73,839
1922,1922-04-19,53,840
1922,1922-04-20,51,841
1922,1922-04-21,50,842
1922,1922-04-22,50,843
1922,1922-04-23,48,844
1922,1922-04-24,50,845
1922,1922-04-25,70,846
1922,1922-04-26,76,847
1922,1922-04-27,63,848
1922,1922-04-28,57,849
1922,1922-04-29,68,850
1922,1922-04-30,60,851
1922,1922-05-01,68,852
1922,1922-05-02,79,853
1922,1922-05-03,81,854
1922,1922-05-04,53,855
1922,1922-05-05,53,856
1922,1922-05-06,62,857
1922,1922-05-07,74,858
1922,1922-05-08,70,859
1922,1922-05-09,73,860
1922,1922-05-10,80,861
1922,1922-05-11,72,862
1922,1922-05-12,66,863
1922,1922-05-13,60,864
1922,1922-05-14,68,865
1922,1922-05-15,80,866
1922,1922-05-16,59,867
1922,1922-05-17,63,868
1922,1922-05-18,65,869
1922,1922-05-19,73,870
1922,1922-05-20,80,871
1922,1922-05-21,80,872
1922,1922-05-22,69,873
1922,1922-05-23,71,874
1922,1922-05-24,66,875
1922,1922-05-25,75,876
1922,1922-05-26,82,877
1922,1922-05-27,55,878
1922,1922-05-28,77,879
1922,1922-05-29,86,880
1922,1922-05-30,76,881
1922,1922-05-31,82,882
1922,1922-06-01,76,883
1922,1922-06-02,73,884
1922,1922-06-03,76,885
1922,1922-06-04,87,886
1922,1922-06-05,89,887
1922,1922-06-06,78,888
1922,1922-06-07,90,889
1922,1922-06-08,92,890
1922,1922-06-09,92,891
1922,1922-06-10,74,892
1922,1922-06-11,84,893
1922,1922-06-12,74,894
1922,1922-06-13,70,895
1922,1922-06-14,71,896
1922,1922-06-15,67,897
1922,1922-06-16,68,898
1922,1922-06-17,68,899
1922,1922-06-18,66,900
1922,1922-06-19,66,901
1922,1922-06-20,65,902
1922,1922-06-21,59,903
1922,1922-06-22,78,904
1922,1922-06-23,75,905
