crack,age,siblings,income,educ,workhours,minority,female,evermarried
0,66,4,49,16,40,0,0,1
0,35,2,58.8,16,40,0,1,1
0,50,4,58.8,16,40,0,1,1
0,51,5,58.8,16,40,0,0,1
0,55,3,68.6,16,40,0,0,1
0,26,0,155.1399731,16,40,0,1,1
0,46,1,155.1399731,16,40,0,0,1
0,33,1,155.1399731,16,40,0,1,1
0,55,2,155.1399731,16,40,0,0,1
0,68,2,155.1399731,16,40,0,0,1
0,38,2,155.1399731,16,40,0,1,1
0,40,3,155.1399731,16,40,0,0,1
0,62,3,22.05,17,40,0,1,1
0,36,1,33.075,17,40,0,0,1
0,33,2,33.075,17,40,0,0,1
0,60,6,40.425,17,40,0,0,1
0,30,2,49,17,40,0,0,1
0,56,1,155.1399731,17,40,0,0,1
0,54,2,155.1399731,17,40,0,0,1
0,37,6,155.1399731,17,40,0,0,1
0,57,3,18.375,18,40,0,0,1
0,51,3,33.075,18,40,0,1,1
0,39,4,33.075,18,40,0,1,1
0,36,9,49,18,40,0,1,1
0,82,1,58.8,18,40,0,0,1
0,40,1,68.6,18,40,0,1,1
0,32,1,155.1399731,18,40,0,1,1
0,37,2,155.1399731,18,40,0,1,1
0,63,7,155.1399731,18,40,0,0,1
0,45,1,22.05,19,40,0,1,1
0,67,3,40.425,19,40,0,0,1
0,65,3,40.425,19,40,0,1,1
0,32,5,40.425,19,40,0,1,1
0,37,1,58.8,19,40,0,0,1
0,54,10,18.375,20,40,0,0,1
0,40,1,22.05,20,40,0,0,1
0,39,2,58.8,20,40,0,1,1
0,36,1,155.1399731,20,40,0,1,1
0,48,1,155.1399731,20,40,0,1,1
0,46,2,155.1399731,20,40,0,0,1
0,47,2,155.1399731,20,40,0,1,1
0,25,7,11.6375,6,40,1,0,1
0,44,6,18.375,8,40,1,1,1
0,40,3,49,8,40,1,1,1
0,43,3,13.475,10,40,1,0,1
0,38,4,22.05,10,40,1,1,1
0,43,7,3.675,11,40,1,1,1
0,49,10,3.185,12,40,1,0,1
0,39,5,9.1875,12,40,1,1,1
0,24,4,10.4125,12,40,1,0,1
0,55,7,11.6375,12,40,1,1,1
0,24,5,13.475,12,40,1,1,1
0,58,2,15.925,12,40,1,1,1
0,57,7,15.925,12,40,1,1,1
0,65,6,18.375,12,40,1,1,1
0,32,2,22.05,12,40,1,1,1
0,38,5,26.95,12,40,1,0,1
0,53,7,26.95,12,40,1,1,1
0,45,2,33.075,12,40,1,0,1
0,49,2,33.075,12,40,1,0,1
0,35,3,33.075,12,40,1,0,1
0,49,5,33.075,12,40,1,0,1
0,26,1,40.425,12,40,1,1,1
0,53,14,68.6,12,40,1,1,1
0,50,4,6.7375,13,40,1,0,1
0,32,8,13.475,13,40,1,1,1
0,47,2,22.05,13,40,1,1,1
0,21,2,5.5125,14,40,1,1,1
0,55,11,13.475,14,40,1,1,1
0,26,2,22.05,14,40,1,1,1
0,58,13,26.95,14,40,1,1,1
0,46,10,33.075,14,40,1,1,1
0,51,1,155.1399731,14,40,1,0,1
0,39,3,26.95,15,40,1,1,1
0,56,4,22.05,16,40,1,0,1
0,40,4,33.075,16,40,1,0,1
0,53,2,49,16,40,1,1,1
0,60,2,58.8,16,40,1,0,1
0,68,3,58.8,16,40,1,0,1
0,39,3,58.8,16,40,1,1,1
0,39,1,155.1399731,16,40,1,0,1
0,32,1,155.1399731,16,40,1,1,1
0,49,3,155.1399731,16,40,1,1,1
0,50,12,155.1399731,16,40,1,0,1
0,49,2,68.6,17,40,1,0,1
0,48,2,155.1399731,17,40,1,1,1
0,37,4,155.1399731,17,40,1,1,1
0,41,6,40.425,18,40,1,1,1
0,37,1,49,18,40,1,0,1
0,29,1,49,18,40,1,1,1
0,31,2,58.8,18,40,1,0,1
0,42,2,155.1399731,18,40,1,1,1
0,41,5,40.425,19,40,1,1,1
0,31,3,40.425,20,40,1,0,1
0,48,2,58.8,20,40,1,1,1
